Reviewer,Rating,Title,Date,Body
Sudipto Chakrabarty,5.0,Nice product and genuine consumables from the brand.,20 February 2024,Nice product and genuine consumables from the brand.
AMIYA KUMAR,5.0,Good,30 January 2024,Good work
Karuna Prasad Ramamurti,5.0,A,11 January 2024,A6
Udayan Das Gupta,5.0,Good,6 January 2024,Good response
Satish Kumar Singh,5.0,Good product,29 December 2023,Good product
Saptarshi Dhara,5.0,good,13 December 2023,good
Sajid Nomani,5.0,Nice one..,13 December 2023,"Nice one. Still using.
17 people found this helpful"
mahesh bhat,5.0,Mosquito repellent,10 December 2023,"The best liquid vapour mosquito repellent in the market
16 people found this helpful"
Manish Chitkara,5.0,Good,5 December 2023,"Bater price from market
19 people found this helpful"
Samir Saha,5.0,Work,5 December 2023,Good
Jigar Nimbalkar,5.0,Value for money,5 December 2023,Value for money
G. Praveen,5.0,Mosquito repellent,30 November 2023,working good
Protik Basu,5.0,Extremely useful and effective product.,18 November 2023,Original item.
Nobin Chandra,5.0,Good,18 November 2023,Useful for household protection.
M Kanagasabapathy,5.0,good product,16 November 2023,Good knight is always good.
Placeholder,5.0,Good,11 November 2023,"Nice product.
Customer image
Customer image"
Pradeep Mishra,5.0,Nice product,21 October 2023,"Just want to say, machine for this product also be available at your platform. Mosquito repellent is excellent 👍"
Navin K.,5.0,Good,17 October 2023,Good
Mithilesh Pandey,5.0,Good Experience,15 October 2023,Good Experience
Ranjeet chopra,5.0,Effective,13 October 2023,Effective product
Jeff Foster,5.0,Active+,13 October 2023,Use only active+ mosquito repellent devices.
JHUNNU SHINE,5.0,Good,11 October 2023,Good
Samir,5.0,Very essential product.,6 October 2023,Good quality essential product 👌
Raj Mondal,5.0,Quality,27 September 2023,Reasonable price compare to market price
Abdul Suhaem,5.0,Good product,23 September 2023,This is a very good product.
SNEHANSHU VERMA,5.0,Quality,17 September 2023,Go for it...
SUDHANSU,5.0,Excellent,15 September 2023,Product is Good with reasonable price
Kiran,5.0,Ok,7 September 2023,Ok
Rajiv Agrawal,5.0,Best Mosquito Refill,2 September 2023,Effective product
VBK,5.0,Good,18 August 2023,"Good one
One person found this helpful"
Anokh S.,5.0,Very effective,18 August 2023,I like the product
Lamp Abience,5.0,Skin care,3 August 2023,"Click to play video
This good night is very powerful"
Ranabir Ghosh,5.0,Does it's work,2 August 2023,It's useful for a small bedroom say 10ft by 12ft.
SVV SATYANARANARAYANA,5.0,Nice product,24 July 2023,best for mosquitos. value for money
Nusrat jabeen,5.0,Good,18 July 2023,Good
Ashu Vashishtha,5.0,Amazing Product Price Saving,17 July 2023,I bought it for 360
