Reviewer,Rating,Title,Date,Body,review_key_aspects,aspect_sentiments,adjective_review,ner_review,emotions_review,empathy_review,predicted_sentiment,actual_sentiment,computed_sentiment_score,computed_sentiment
Arjun Gangwar,2.0,Delivery concern,2020-01-24,product is good butbit delivery is not so good it is delivered in a very thin plastic bag and this condition is cleared in photo customer image one person found this helpful,product good butbit delivery thin plastic bag condition photo customer image person,"{'product': 'positive', 'butbit': 'positive', 'delivery': 'positive', 'bag': 'positive', 'condition': 'positive', 'photo': 'positive', 'customer': 'positive', 'image': 'positive', 'person': 'positive'}",good good thin plastic helpful,"('one', 'CARDINAL')","[('admiration', 0.2679891586303711), ('neutral', 0.1977437287569046), ('approval', 0.19595175981521606)]","[[{'label': 'neutral', 'score': 0.8059438467025757}, {'label': 'joy', 'score': 0.08731333166360855}, {'label': 'sadness', 'score': 0.047744158655405045}, {'label': 'surprise', 'score': 0.03439939394593239}, {'label': 'disgust', 'score': 0.016048451885581017}, {'label': 'anger', 'score': 0.0064494414255023}, {'label': 'fear', 'score': 0.0021012872457504272}]]",positive,negative,0.8573,positive
Srikanta Mallick,2.0,Dont buy not original.,2020-01-19,no smell at all,smell,{'smell': 'negative'},,,"[('neutral', 0.5038724541664124), ('disapproval', 0.19753389060497284), ('annoyance', 0.06631333380937576)]","[[{'label': 'disgust', 'score': 0.8904247879981995}, {'label': 'neutral', 'score': 0.04827432334423065}, {'label': 'sadness', 'score': 0.0328381173312664}, {'label': 'surprise', 'score': 0.012353748083114624}, {'label': 'anger', 'score': 0.008225859142839909}, {'label': 'fear', 'score': 0.00580250658094883}, {'label': 'joy', 'score': 0.0020806007087230682}]]",negative,negative,-0.296,negative
Bijal,2.0,Not very good and not bad.,2020-01-14,this is different from good knight advance one which we get in market smell wise it is less  not the one like advance refill delivery was on the same day so good amazon  please do not buy this,good knight market smell advance refill delivery day good amazon,"{'knight': 'positive', 'market': 'positive', 'smell': 'positive', 'one': 'positive', 'refill': 'positive', 'delivery': 'positive', 'day': 'positive', 'amazon': 'positive'}",different good wise advance same good,"('the same day', 'DATE')","[('neutral', 0.34630098938941956), ('admiration', 0.2473960965871811), ('approval', 0.12593074142932892)]","[[{'label': 'neutral', 'score': 0.4514797627925873}, {'label': 'surprise', 'score': 0.18546509742736816}, {'label': 'sadness', 'score': 0.17282234132289886}, {'label': 'joy', 'score': 0.15133924782276154}, {'label': 'disgust', 'score': 0.022885968908667564}, {'label': 'anger', 'score': 0.00921968650072813}, {'label': 'fear', 'score': 0.00678780535236001}]]",positive,negative,0.8842,positive
Shyamaprasad ghosh,2.0,Not money sever,2019-12-30,ok,,{},,,"[('neutral', 0.6164146065711975), ('approval', 0.18991433084011078), ('caring', 0.04196959733963013)]","[[{'label': 'neutral', 'score': 0.8115996718406677}, {'label': 'surprise', 'score': 0.05355851352214813}, {'label': 'sadness', 'score': 0.04313215613365173}, {'label': 'fear', 'score': 0.03343234956264496}, {'label': 'disgust', 'score': 0.02910882607102394}, {'label': 'anger', 'score': 0.023284118622541428}, {'label': 'joy', 'score': 0.005884390790015459}]]",positive,negative,0.296,positive
Polaiah D,2.0,Very useful,2019-12-11,good product,good product,{'product': 'positive'},good,,"[('admiration', 0.6172888278961182), ('neutral', 0.16805608570575714), ('approval', 0.09166169166564941)]","[[{'label': 'neutral', 'score': 0.8036730289459229}, {'label': 'joy', 'score': 0.14797110855579376}, {'label': 'disgust', 'score': 0.018824240192770958}, {'label': 'sadness', 'score': 0.010956449434161186}, {'label': 'surprise', 'score': 0.010852250270545483}, {'label': 'anger', 'score': 0.006268120836466551}, {'label': 'fear', 'score': 0.0014547427417710423}]]",positive,negative,0.4404,positive
Radhika,2.0,Ok,2019-12-09,doesnt fit the machine shown only useful for regular machine,machine regular machine,{'machine': 'positive'},useful regular,,"[('neutral', 0.639439582824707), ('disapproval', 0.09902779757976532), ('approval', 0.06828171014785767)]","[[{'label': 'sadness', 'score': 0.3914051949977875}, {'label': 'neutral', 'score': 0.34923818707466125}, {'label': 'surprise', 'score': 0.21180979907512665}, {'label': 'disgust', 'score': 0.015065459534525871}, {'label': 'anger', 'score': 0.013881443068385124}, {'label': 'joy', 'score': 0.0134038794785738}, {'label': 'fear', 'score': 0.005196007899940014}]]",positive,negative,0.1999,positive
Pinki sharma,2.0,Broken,2019-12-01,one refill is broken from inside,refill,{'refill': 'negative'},,"('one', 'CARDINAL')","[('neutral', 0.3990027606487274), ('sadness', 0.22708237171173096), ('disappointment', 0.1383868306875229)]","[[{'label': 'sadness', 'score': 0.46419844031333923}, {'label': 'anger', 'score': 0.3088434338569641}, {'label': 'surprise', 'score': 0.13197201490402222}, {'label': 'neutral', 'score': 0.06600014120340347}, {'label': 'fear', 'score': 0.01718210242688656}, {'label': 'disgust', 'score': 0.009119746275246143}, {'label': 'joy', 'score': 0.0026842025108635426}]]",negative,negative,-0.4767,negative
swapan kumar chakma(pulak),2.0,Useful,2019-11-29,ok,,{},,,"[('neutral', 0.6164146065711975), ('approval', 0.18991433084011078), ('caring', 0.04196959733963013)]","[[{'label': 'neutral', 'score': 0.8115996718406677}, {'label': 'surprise', 'score': 0.05355851352214813}, {'label': 'sadness', 'score': 0.04313215613365173}, {'label': 'fear', 'score': 0.03343234956264496}, {'label': 'disgust', 'score': 0.02910882607102394}, {'label': 'anger', 'score': 0.023284118622541428}, {'label': 'joy', 'score': 0.005884390790015459}]]",positive,negative,0.296,positive
Pavankumar Prakya,2.0,Did not like the experience,2019-11-24,did not like the experience,experience,{'experience': 'negative'},,,"[('neutral', 0.6046154499053955), ('disapproval', 0.09376741200685501), ('confusion', 0.08222765475511551)]","[[{'label': 'sadness', 'score': 0.4688515365123749}, {'label': 'disgust', 'score': 0.3340757191181183}, {'label': 'neutral', 'score': 0.05451343208551407}, {'label': 'anger', 'score': 0.05215304344892502}, {'label': 'joy', 'score': 0.04357486590743065}, {'label': 'surprise', 'score': 0.03830970078706741}, {'label': 'fear', 'score': 0.00852164626121521}]]",negative,negative,-0.2755,negative
ANANDA RAO KOYYANA,2.0,Nice,2019-11-20,nice,,{},nice,,"[('admiration', 0.7273629307746887), ('approval', 0.07381336390972137), ('neutral', 0.06820283085107803)]","[[{'label': 'neutral', 'score': 0.7410890460014343}, {'label': 'disgust', 'score': 0.12970957159996033}, {'label': 'sadness', 'score': 0.03709390386939049}, {'label': 'anger', 'score': 0.036271657794713974}, {'label': 'joy', 'score': 0.03328331559896469}, {'label': 'surprise', 'score': 0.018532119691371918}, {'label': 'fear', 'score': 0.00402035703882575}]]",positive,negative,0.4215,positive
MD SHAHID,2.0,Good,2019-11-17,high price,high price,{'price': 'neutral'},high,,"[('neutral', 0.5638494491577148), ('admiration', 0.1365041434764862), ('approval', 0.12516720592975616)]","[[{'label': 'neutral', 'score': 0.8574360609054565}, {'label': 'surprise', 'score': 0.06757669895887375}, {'label': 'joy', 'score': 0.04531564563512802}, {'label': 'sadness', 'score': 0.013182173483073711}, {'label': 'anger', 'score': 0.010651727207005024}, {'label': 'disgust', 'score': 0.003517771139740944}, {'label': 'fear', 'score': 0.002320016035810113}]]",neutral,negative,0.0,neutral
Alpika Raikar,2.0,Bad,2019-11-13,bad,,{},bad,,"[('neutral', 0.18307329714298248), ('disapproval', 0.1178712472319603), ('sadness', 0.11259075999259949)]","[[{'label': 'disgust', 'score': 0.5724433064460754}, {'label': 'sadness', 'score': 0.28889724612236023}, {'label': 'neutral', 'score': 0.06318399310112}, {'label': 'anger', 'score': 0.041947606950998306}, {'label': 'fear', 'score': 0.021219676360487938}, {'label': 'surprise', 'score': 0.006582230795174837}, {'label': 'joy', 'score': 0.0057259234599769115}]]",negative,negative,-0.5423,negative
Rajkumar,2.0,Only Packing is Jumbo,2019-10-11,good knight is making customers fool by printing asjumbo pack only the cover is jumbo liquid same 45ml only customer image 2 people found this helpful,good knight customer asjumbo pack cover jumbo liquid customer image people,"{'knight': 'positive', 'customers': 'positive', 'pack': 'positive', 'cover': 'positive', '45ml': 'positive', 'customer': 'positive', 'image': 'positive', 'people': 'positive'}",good asjumbo jumbo liquid same only helpful,"('45ml', 'ORDINAL')","[('annoyance', 0.2172011435031891), ('neutral', 0.17285849153995514), ('approval', 0.12334317713975906)]","[[{'label': 'neutral', 'score': 0.6363000869750977}, {'label': 'joy', 'score': 0.20709466934204102}, {'label': 'surprise', 'score': 0.10463103652000427}, {'label': 'anger', 'score': 0.03066290356218815}, {'label': 'sadness', 'score': 0.013640272431075573}, {'label': 'disgust', 'score': 0.006490875966846943}, {'label': 'fear', 'score': 0.0011802492663264275}]]",positive,negative,0.5023,positive
Vishal,2.0,"Not original product, very very inefective",2019-10-09,locally better deal available and importantly i doubt its not genuine godrej goodknight refill very very inefective,locally well deal genuine godrej goodknight refill,"{'deal': 'positive', 'godrej': 'negative', 'refill': 'negative'}",better available genuine goodknight inefective,,"[('confusion', 0.292121022939682), ('disapproval', 0.2100236862897873), ('approval', 0.19630175828933716)]","[[{'label': 'neutral', 'score': 0.5111459493637085}, {'label': 'sadness', 'score': 0.17971177399158478}, {'label': 'surprise', 'score': 0.10855749994516373}, {'label': 'fear', 'score': 0.09934456646442413}, {'label': 'anger', 'score': 0.05907369777560234}, {'label': 'joy', 'score': 0.03864508494734764}, {'label': 'disgust', 'score': 0.003521411679685116}]]",positive,negative,0.4019,positive
Viji,2.0,Can't check the units,2019-10-09,one of refill stem was broken,refill stem,"{'refill': 'negative', 'stem': 'negative'}",,"('one', 'CARDINAL')","[('neutral', 0.354190856218338), ('disappointment', 0.20057980716228485), ('sadness', 0.19330383837223053)]","[[{'label': 'anger', 'score': 0.3384452760219574}, {'label': 'sadness', 'score': 0.33466893434524536}, {'label': 'surprise', 'score': 0.17176300287246704}, {'label': 'neutral', 'score': 0.09976440668106079}, {'label': 'fear', 'score': 0.030439991503953934}, {'label': 'disgust', 'score': 0.019850239157676697}, {'label': 'joy', 'score': 0.005068203900009394}]]",negative,negative,-0.4767,negative
A D,3.0,Good,2024-10-12,good customer image customer image customer image,good customer image customer image customer image,"{'customer': 'positive', 'image': 'positive'}",good,,"[('disappointment', 0.2729073166847229), ('sadness', 0.22345559298992157), ('neutral', 0.13290676474571228)]","[[{'label': 'neutral', 'score': 0.9186983704566956}, {'label': 'joy', 'score': 0.03822873532772064}, {'label': 'disgust', 'score': 0.01707955077290535}, {'label': 'anger', 'score': 0.009568830020725727}, {'label': 'sadness', 'score': 0.007752327248454094}, {'label': 'surprise', 'score': 0.0070525784976780415}, {'label': 'fear', 'score': 0.0016196321230381727}]]",positive,neutral,0.4404,positive
Mahesh Krishna,3.0,Good product,2024-10-07,one or two products are leaking packing is very bad but product is good every one knows,product packing product,"{'products': 'positive', 'packing': 'positive', 'product': 'positive', 'one': 'positive'}",bad good,"('one', 'CARDINAL')","[('admiration', 0.2342683970928192), ('neutral', 0.17150910198688507), ('disappointment', 0.11969335377216339)]","[[{'label': 'neutral', 'score': 0.5621492862701416}, {'label': 'disgust', 'score': 0.29560428857803345}, {'label': 'sadness', 'score': 0.06304850429296494}, {'label': 'anger', 'score': 0.053632982075214386}, {'label': 'joy', 'score': 0.011968212202191353}, {'label': 'fear', 'score': 0.009695669636130333}, {'label': 'surprise', 'score': 0.003901056479662657}]]",positive,neutral,0.3514,positive
ASHWINI KUMAR,3.0,Avarag quality,2024-04-03,avarag quality,avarag quality,{},,,"[('neutral', 0.4933147430419922), ('approval', 0.07364991307258606), ('realization', 0.05048532783985138)]","[[{'label': 'neutral', 'score': 0.9075082540512085}, {'label': 'surprise', 'score': 0.03955172747373581}, {'label': 'disgust', 'score': 0.01607617363333702}, {'label': 'anger', 'score': 0.013515882194042206}, {'label': 'joy', 'score': 0.01261367741972208}, {'label': 'sadness', 'score': 0.008346786722540855}, {'label': 'fear', 'score': 0.0023875113110989332}]]",neutral,neutral,0.0,neutral
Pawan Pandey,3.0,Good,2024-01-28,good product,good product,{'product': 'positive'},good,,"[('admiration', 0.6172888278961182), ('neutral', 0.16805608570575714), ('approval', 0.09166169166564941)]","[[{'label': 'neutral', 'score': 0.8036730289459229}, {'label': 'joy', 'score': 0.14797110855579376}, {'label': 'disgust', 'score': 0.018824240192770958}, {'label': 'sadness', 'score': 0.010956449434161186}, {'label': 'surprise', 'score': 0.010852250270545483}, {'label': 'anger', 'score': 0.006268120836466551}, {'label': 'fear', 'score': 0.0014547427417710423}]]",positive,neutral,0.4404,positive
Dr. Pravin Shankar,3.0,Ok,2023-10-23,product is ok but stick in the refill pack in all the pieces is black instead of pink as shown in the picture whether genuine or not is doubtful otherwise fresh stock mfd  0423 with appropriate packaging has been sent 15 people found this helpful,product refill pack piece picture doubtful fresh stock appropriate packaging people,"{'product': 'positive', 'refill': 'positive', 'pack': 'positive', 'pieces': 'positive', 'picture': 'positive', 'stock': 'positive', 'packaging': 'positive', 'people': 'positive'}",ok black pink genuine doubtful fresh appropriate helpful,"('0423', 'DATE')","[('neutral', 0.782809317111969), ('approval', 0.04801636561751366), ('realization', 0.028381602838635445)]","[[{'label': 'neutral', 'score': 0.8764714002609253}, {'label': 'surprise', 'score': 0.06824249029159546}, {'label': 'joy', 'score': 0.03118947148323059}, {'label': 'sadness', 'score': 0.010845934972167015}, {'label': 'fear', 'score': 0.0063463374972343445}, {'label': 'anger', 'score': 0.00529996445402503}, {'label': 'disgust', 'score': 0.0016043804353103042}]]",positive,neutral,0.888,positive
Rahul Kumar,3.0,"You must use this 24/7, or no effect",2023-10-09,its usefull if you use this 247 non stop mosquito stays in room waiting for you to switch off the machine lol 2 people found this helpful,usefull non mosquito stay room machine lol people,"{'usefull': 'positive', 'non': 'positive', 'mosquito': 'positive', 'stays': 'positive', 'room': 'positive', 'machine': 'positive', 'lol': 'positive', 'people': 'positive'}",helpful,"('247', 'CARDINAL')","[('amusement', 0.6679373383522034), ('neutral', 0.21099093556404114), ('approval', 0.05966108292341232)]","[[{'label': 'joy', 'score': 0.608709454536438}, {'label': 'neutral', 'score': 0.2623469829559326}, {'label': 'surprise', 'score': 0.09327203035354614}, {'label': 'sadness', 'score': 0.026175066828727722}, {'label': 'anger', 'score': 0.006442983169108629}, {'label': 'fear', 'score': 0.0015989235835149884}, {'label': 'disgust', 'score': 0.0014546173624694347}]]",positive,neutral,0.5927,positive
Amazon Customer,3.0,Product,2023-08-09,its not the same as mentioned in the photo it does not have red stick it has black stick customer image customer image 3 people found this helpful,photo red stick black stick customer image customer image people,"{'photo': 'positive', 'stick': 'positive', 'customer': 'positive', 'image': 'positive', 'people': 'positive'}",same red black helpful,"('3', 'CARDINAL')","[('neutral', 0.4424627423286438), ('disapproval', 0.16585196554660797), ('disappointment', 0.10667416453361511)]","[[{'label': 'neutral', 'score': 0.7800372838973999}, {'label': 'surprise', 'score': 0.11718346923589706}, {'label': 'joy', 'score': 0.061697494238615036}, {'label': 'sadness', 'score': 0.034985482692718506}, {'label': 'disgust', 'score': 0.0026689625810831785}, {'label': 'anger', 'score': 0.0025508508551865816}, {'label': 'fear', 'score': 0.0008765188977122307}]]",positive,neutral,0.5023,positive
Amazon Customer,3.0,Good,2023-07-13,,,{},,,"[('neutral', 0.802638053894043), ('approval', 0.027459343895316124), ('excitement', 0.016782665625214577)]","[[{'label': 'neutral', 'score': 0.5494768619537354}, {'label': 'sadness', 'score': 0.11169016361236572}, {'label': 'disgust', 'score': 0.10400668531656265}, {'label': 'surprise', 'score': 0.07876545190811157}, {'label': 'anger', 'score': 0.06413359194993973}, {'label': 'fear', 'score': 0.05136280506849289}, {'label': 'joy', 'score': 0.0405643992125988}]]",neutral,neutral,0.0,neutral
Placeholder,3.0,Old product was delivered,2023-03-16,old version of the product was delivered,old version product,"{'version': 'neutral', 'product': 'neutral'}",old,,"[('neutral', 0.6037881970405579), ('approval', 0.11845719814300537), ('realization', 0.056262560188770294)]","[[{'label': 'neutral', 'score': 0.7848820090293884}, {'label': 'sadness', 'score': 0.08855471014976501}, {'label': 'surprise', 'score': 0.08746223151683807}, {'label': 'anger', 'score': 0.018327875062823296}, {'label': 'disgust', 'score': 0.011758520267903805}, {'label': 'joy', 'score': 0.005009172484278679}, {'label': 'fear', 'score': 0.004005448892712593}]]",neutral,neutral,0.0,neutral
"Liquid Battle Machine is not getting locked, old lock status,",3.0,***,2023-02-09,used mosquito,mosquito,{'mosquito': 'neutral'},,"('mosquito', 'PERSON')","[('neutral', 0.5186699628829956), ('surprise', 0.13416872918605804), ('anger', 0.05133020505309105)]","[[{'label': 'disgust', 'score': 0.414882630109787}, {'label': 'neutral', 'score': 0.29094454646110535}, {'label': 'sadness', 'score': 0.12409429252147675}, {'label': 'anger', 'score': 0.11975838243961334}, {'label': 'fear', 'score': 0.037408046424388885}, {'label': 'surprise', 'score': 0.009213297627866268}, {'label': 'joy', 'score': 0.003698799293488264}]]",neutral,neutral,0.0,neutral
DULAL MODAK,3.0,Excellent,2023-01-22,excellent,,{},excellent,,"[('admiration', 0.777554452419281), ('gratitude', 0.06314689666032791), ('neutral', 0.056344762444496155)]","[[{'label': 'joy', 'score': 0.8195317387580872}, {'label': 'neutral', 'score': 0.14971467852592468}, {'label': 'disgust', 'score': 0.009738321416079998}, {'label': 'surprise', 'score': 0.0069183604791760445}, {'label': 'anger', 'score': 0.0067194742150604725}, {'label': 'sadness', 'score': 0.00591770326718688}, {'label': 'fear', 'score': 0.0014596994733437896}]]",positive,neutral,0.5719,positive
Nipun Bahri,3.0,Product is ok?,2023-01-16,doesnt kill mosquitoes as expected,mosquito,{'mosquitoes': 'positive'},,,"[('neutral', 0.26621875166893005), ('anger', 0.2092345952987671), ('annoyance', 0.19795547425746918)]","[[{'label': 'neutral', 'score': 0.40894025564193726}, {'label': 'sadness', 'score': 0.34324467182159424}, {'label': 'surprise', 'score': 0.1370857059955597}, {'label': 'anger', 'score': 0.05711670592427254}, {'label': 'joy', 'score': 0.026051605120301247}, {'label': 'disgust', 'score': 0.018077261745929718}, {'label': 'fear', 'score': 0.009483765810728073}]]",positive,neutral,0.5773,positive
Sundhar.S,3.0,Simply waste of money,2023-01-08,disappointment with price so cheating customer image,disappointment price customer image,"{'disappointment': 'negative', 'price': 'negative', 'customer': 'negative', 'image': 'negative'}",,,"[('disappointment', 0.32184237241744995), ('sadness', 0.2716980576515198), ('neutral', 0.11365935951471329)]","[[{'label': 'surprise', 'score': 0.7915734648704529}, {'label': 'fear', 'score': 0.07368891686201096}, {'label': 'sadness', 'score': 0.06974285840988159}, {'label': 'anger', 'score': 0.023684175685048103}, {'label': 'disgust', 'score': 0.017465781420469284}, {'label': 'neutral', 'score': 0.015650229528546333}, {'label': 'joy', 'score': 0.008194632828235626}]]",negative,neutral,-0.8367,negative
Amruta,3.0,Good familiar product,2022-11-12,have been using for long time somehow the new units leaks could be oneoff xase will check for next bottle when i use it,long time new unit leak oneoff xase bottle,"{'time': 'neutral', 'units': 'neutral', 'leaks': 'neutral', 'oneoff': 'neutral', 'xase': 'neutral', 'bottle': 'neutral'}",long new next,,"[('neutral', 0.46191707253456116), ('optimism', 0.1317281723022461), ('desire', 0.08386416733264923)]","[[{'label': 'neutral', 'score': 0.8855039477348328}, {'label': 'surprise', 'score': 0.0871848538517952}, {'label': 'anger', 'score': 0.008541706018149853}, {'label': 'sadness', 'score': 0.007936020381748676}, {'label': 'joy', 'score': 0.00583096407353878}, {'label': 'fear', 'score': 0.0029448429122567177}, {'label': 'disgust', 'score': 0.002057676436379552}]]",neutral,neutral,0.0,neutral
PIJUSH c.,3.0,Nice one,2022-10-27,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,neutral,0.4404,positive
Jessy,3.0,Not bad,2022-10-25,it’s an average product,average product,{'product': 'neutral'},average,,"[('neutral', 0.6376248002052307), ('approval', 0.06364566087722778), ('annoyance', 0.051668208092451096)]","[[{'label': 'neutral', 'score': 0.8716170191764832}, {'label': 'surprise', 'score': 0.08070658147335052}, {'label': 'joy', 'score': 0.025479214265942574}, {'label': 'sadness', 'score': 0.008321700617671013}, {'label': 'disgust', 'score': 0.007085584104061127}, {'label': 'anger', 'score': 0.005928190425038338}, {'label': 'fear', 'score': 0.0008616208797320724}]]",neutral,neutral,0.0,neutral
Balbant Prasad,3.0,Quality is not better,2022-09-29,click to play video it is not 2x more powerit simple,video powerit simple,"{'video': 'positive', 'powerit': 'positive', 'simple': 'positive'}",more,"('2x', 'CARDINAL')","[('neutral', 0.662018895149231), ('approval', 0.06904013454914093), ('disapproval', 0.06062808260321617)]","[[{'label': 'surprise', 'score': 0.5459585189819336}, {'label': 'neutral', 'score': 0.331811785697937}, {'label': 'sadness', 'score': 0.08624336868524551}, {'label': 'joy', 'score': 0.025848355144262314}, {'label': 'anger', 'score': 0.005840776488184929}, {'label': 'disgust', 'score': 0.002606017515063286}, {'label': 'fear', 'score': 0.0016911423299461603}]]",positive,neutral,0.34,positive
rajesh,3.0,Good,2022-09-17,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,neutral,0.4404,positive
Sree,3.0,Ok,2022-09-06,ok,,{},,,"[('neutral', 0.6164146065711975), ('approval', 0.18991433084011078), ('caring', 0.04196959733963013)]","[[{'label': 'neutral', 'score': 0.8115996718406677}, {'label': 'surprise', 'score': 0.05355851352214813}, {'label': 'sadness', 'score': 0.04313215613365173}, {'label': 'fear', 'score': 0.03343234956264496}, {'label': 'disgust', 'score': 0.02910882607102394}, {'label': 'anger', 'score': 0.023284118622541428}, {'label': 'joy', 'score': 0.005884390790015459}]]",positive,neutral,0.296,positive
Shashwat,3.0,Life of a refill is very less,2022-08-27,it is getting finished in about 1520 days for only night time use by my estimation six of them will be used up in 4 months,day night time use estimation month,"{'days': 'neutral', 'night': 'neutral', 'time': 'neutral', 'use': 'neutral', 'estimation': 'neutral', 'months': 'neutral'}",only,"('about 1520 days', 'DATE')","[('neutral', 0.37203922867774963), ('caring', 0.13317716121673584), ('approval', 0.09777683764696121)]","[[{'label': 'neutral', 'score': 0.7435324788093567}, {'label': 'surprise', 'score': 0.1689847856760025}, {'label': 'joy', 'score': 0.05247056856751442}, {'label': 'sadness', 'score': 0.020207518711686134}, {'label': 'anger', 'score': 0.009123396128416061}, {'label': 'fear', 'score': 0.003999094013124704}, {'label': 'disgust', 'score': 0.0016822005854919553}]]",neutral,neutral,0.0,neutral
Gopal Kumar,3.0,Nice,2022-08-21,nice to,,{},nice,,"[('admiration', 0.6837250590324402), ('approval', 0.0857626348733902), ('neutral', 0.0765174850821495)]","[[{'label': 'neutral', 'score': 0.577879011631012}, {'label': 'joy', 'score': 0.3163676857948303}, {'label': 'disgust', 'score': 0.050417300313711166}, {'label': 'surprise', 'score': 0.02112543024122715}, {'label': 'sadness', 'score': 0.01938467100262642}, {'label': 'anger', 'score': 0.012715011835098267}, {'label': 'fear', 'score': 0.00211084121838212}]]",positive,neutral,0.4215,positive
Satish nayak,3.0,Not a good purchase.,2022-07-24,nope,nope,{},,,"[('neutral', 0.38486647605895996), ('disapproval', 0.36654117703437805), ('approval', 0.04405096545815468)]","[[{'label': 'neutral', 'score': 0.9230909943580627}, {'label': 'sadness', 'score': 0.024295205250382423}, {'label': 'disgust', 'score': 0.023937523365020752}, {'label': 'surprise', 'score': 0.010644183494150639}, {'label': 'anger', 'score': 0.008277975022792816}, {'label': 'joy', 'score': 0.0055832150392234325}, {'label': 'fear', 'score': 0.004170901142060757}]]",neutral,neutral,0.0,neutral
Ashfaq Nagori,3.0,very Good protect,2022-07-02,bhut accha hai delivery bhut let huva tha,bhut accha hai delivery bhut huva,{},,"('bhut accha', 'PERSON')","[('neutral', 0.6295838356018066), ('amusement', 0.07764562219381332), ('disapproval', 0.06929042935371399)]","[[{'label': 'neutral', 'score': 0.500835120677948}, {'label': 'disgust', 'score': 0.15244048833847046}, {'label': 'sadness', 'score': 0.11576111614704132}, {'label': 'anger', 'score': 0.08847303688526154}, {'label': 'joy', 'score': 0.06617731600999832}, {'label': 'fear', 'score': 0.05301985517144203}, {'label': 'surprise', 'score': 0.023293081670999527}]]",neutral,neutral,0.0,neutral
Siddhartha das,3.0,Not happy,2022-06-14,not happy,,{},happy,,"[('neutral', 0.29676538705825806), ('disapproval', 0.18883924186229706), ('joy', 0.11573473364114761)]","[[{'label': 'sadness', 'score': 0.9857171773910522}, {'label': 'surprise', 'score': 0.005733436904847622}, {'label': 'neutral', 'score': 0.004302040673792362}, {'label': 'joy', 'score': 0.00198202021420002}, {'label': 'anger', 'score': 0.0014132537180557847}, {'label': 'disgust', 'score': 0.0004922107909806073}, {'label': 'fear', 'score': 0.00035995079088024795}]]",negative,neutral,-0.4585,negative
Shailesh,3.0,Ok ok,2022-05-30,mosquito nt get away so quantity should be increased or improve,mosquito quantity,{'quantity': 'positive'},,"('mosquito', 'PERSON')","[('neutral', 0.3184507489204407), ('optimism', 0.1808081865310669), ('caring', 0.12794460356235504)]","[[{'label': 'neutral', 'score': 0.9273146390914917}, {'label': 'sadness', 'score': 0.02413651905953884}, {'label': 'surprise', 'score': 0.019959211349487305}, {'label': 'joy', 'score': 0.014655614271759987}, {'label': 'anger', 'score': 0.007488921284675598}, {'label': 'disgust', 'score': 0.003679216606542468}, {'label': 'fear', 'score': 0.002765798941254616}]]",positive,neutral,0.6124,positive
VIVEK NEGI,3.0,Okay product,2022-04-16,the mosquitoes have become immune to good night refill there is no effect on them by using good night refill good night should make better product,mosquito good night refill effect good night refill well product,"{'mosquitoes': 'positive', 'night': 'positive', 'refill': 'positive', 'effect': 'positive', 'product': 'positive'}",immune good good good better,,"[('admiration', 0.42942294478416443), ('approval', 0.25525134801864624), ('neutral', 0.17638908326625824)]","[[{'label': 'neutral', 'score': 0.9118889570236206}, {'label': 'joy', 'score': 0.047598835080862045}, {'label': 'surprise', 'score': 0.016412215307354927}, {'label': 'sadness', 'score': 0.011154059320688248}, {'label': 'anger', 'score': 0.007230730261653662}, {'label': 'disgust', 'score': 0.003828046377748251}, {'label': 'fear', 'score': 0.0018871097126975656}]]",positive,neutral,0.891,positive
Harsh Kumar,3.0,Genune product,2022-04-13,better than offline market,offline market,{'market': 'positive'},offline,,"[('neutral', 0.6751164793968201), ('approval', 0.10848070681095123), ('admiration', 0.03612017259001732)]","[[{'label': 'neutral', 'score': 0.6823155283927917}, {'label': 'surprise', 'score': 0.19877783954143524}, {'label': 'joy', 'score': 0.07447350770235062}, {'label': 'sadness', 'score': 0.020305952057242393}, {'label': 'anger', 'score': 0.012878102250397205}, {'label': 'disgust', 'score': 0.00777793163433671}, {'label': 'fear', 'score': 0.003471159841865301}]]",positive,neutral,0.34,positive
